sp,lon,lat
"Caryothraustes canadensis brasiliensis Cabanis, 1851",-39.086,-14.3349
"Caryothraustes canadensis brasiliensis Cabanis, 1851",-35.8741,-9.2162
"Caryothraustes canadensis (Linnaeus, 1766)",-72.3994,-0.5831
"Caryothraustes canadensis (Linnaeus, 1766)",-40.61429,-19.96341
"Caryothraustes canadensis (Linnaeus, 1766)",-40.54595,-19.88914
"Caryothraustes canadensis (Linnaeus, 1766)",-43.04792,-22.58297
"Caryothraustes canadensis (Linnaeus, 1766)",-42.76958,-22.45122
"Caryothraustes canadensis (Linnaeus, 1766)",-41.02712,-19.98016
"Caryothraustes canadensis brasiliensis Cabanis, 1851",-39.1367,-16.3636
"Caryothraustes canadensis (Linnaeus, 1766)",-40.04092,-19.15258
"Caryothraustes canadensis (Linnaeus, 1766)",-43.06793,-22.53775
"Caryothraustes canadensis brasiliensis Cabanis, 1851",-39.0933,-14.4791
"Caryothraustes canadensis (Linnaeus, 1766)",-40.06181,-19.14515
"Caryothraustes canadensis (Linnaeus, 1766)",-43.35871,-4.86538
"Caryothraustes canadensis (Linnaeus, 1766)",-47.50357,-4.95396
"Caryothraustes canadensis brasiliensis Cabanis, 1851",-40.2667,-14.5512
"Caryothraustes canadensis brasiliensis Cabanis, 1851",-40.2713,-14.5464
"Caryothraustes canadensis (Linnaeus, 1766)",-48.29496,-1.21124
"Caryothraustes canadensis (Linnaeus, 1766)",-40.13325,-14.7882
"Caryothraustes canadensis (Linnaeus, 1766)",-40.47835,-20.30116
"Caryothraustes canadensis (Linnaeus, 1766)",-39.02523,-14.32229
"Caryothraustes canadensis (Linnaeus, 1766)",-35.87958,-9.22541
"Caryothraustes canadensis (Linnaeus, 1766)",-52.8095,5.11869
"Caryothraustes canadensis (Linnaeus, 1766)",-55.22956,5.48509
"Caryothraustes canadensis (Linnaeus, 1766)",-40.59967,-19.93617
"Caryothraustes canadensis (Linnaeus, 1766)",-40.20733,-14.36502
"Caryothraustes canadensis (Linnaeus, 1766)",-35.88257,-9.21679
"Caryothraustes canadensis (Linnaeus, 1766)",-44.14008,-3.67417
"Caryothraustes canadensis (Linnaeus, 1766)",-44.14959,-3.65373
"Caryothraustes canadensis (Linnaeus, 1766)",-39.16976,-16.3876
"Caryothraustes canadensis (Linnaeus, 1766)",-44.14507,-3.66015
"Caryothraustes canadensis (Linnaeus, 1766)",-39.01676,-14.10367
"Caryothraustes canadensis (Linnaeus, 1766)",-43.27392,-4.92172
"Caryothraustes canadensis (Linnaeus, 1766)",-42.6636,-5.08281
"Caryothraustes canadensis (Linnaeus, 1766)",-39.32146,-16.43201
"Caryothraustes canadensis (Linnaeus, 1766)",-38.96233,-14.07584
"Caryothraustes canadensis (Linnaeus, 1766)",-70.19468,1.26778
"Caryothraustes canadensis (Linnaeus, 1766)",-58.91007,4.24576
"Caryothraustes canadensis (Linnaeus, 1766)",-40.65947,-20.36413
"Caryothraustes canadensis (Linnaeus, 1766)",-61.13559,1.81377
"Caryothraustes canadensis (Linnaeus, 1766)",-61.19619,1.78584
"Caryothraustes canadensis (Linnaeus, 1766)",-70.2384,1.22058
"Caryothraustes canadensis (Linnaeus, 1766)",-43.36239,-4.86734
"Caryothraustes canadensis (Linnaeus, 1766)",-70.24424,1.21903
"Caryothraustes canadensis (Linnaeus, 1766)",-53.03619,5.04942
"Caryothraustes canadensis (Linnaeus, 1766)",-39.11904,-16.53782
"Caryothraustes canadensis (Linnaeus, 1766)",-59.56637,-2.02415
"Caryothraustes canadensis (Linnaeus, 1766)",-60.04163,-2.79446
"Caryothraustes canadensis (Linnaeus, 1766)",-52.76474,5.09109
"Caryothraustes canadensis (Linnaeus, 1766)",-53.9892,4.15405
"Caryothraustes canadensis (Linnaeus, 1766)",-70.22854,1.22183
"Caryothraustes canadensis (Linnaeus, 1766)",-58.84977,4.34747
"Caryothraustes canadensis (Linnaeus, 1766)",-59.93996,-3.00718
"Caryothraustes canadensis (Linnaeus, 1766)",-42.99102,-22.47287
"Caryothraustes canadensis (Linnaeus, 1766)",-67.88061,3.88071
"Caryothraustes canadensis (Linnaeus, 1766)",-48.30055,-1.19617
"Caryothraustes canadensis (Linnaeus, 1766)",-52.78241,5.11017
"Caryothraustes canadensis (Linnaeus, 1766)",-40.14159,-14.6612
"Caryothraustes canadensis (Linnaeus, 1766)",-39.12593,-16.54412
"Caryothraustes canadensis (Linnaeus, 1766)",-44.98118,-6.73157
"Caryothraustes canadensis (Linnaeus, 1766)",-48.30093,-1.19609
"Caryothraustes canadensis (Linnaeus, 1766)",-55.4192,4.6361
"Caryothraustes canadensis (Linnaeus, 1766)",-59.93982,-3.00741
"Caryothraustes canadensis (Linnaeus, 1766)",-52.4344,4.53638
"Caryothraustes canadensis (Linnaeus, 1766)",-44.1441,-3.66298
"Caryothraustes canadensis (Linnaeus, 1766)",-44.14785,-3.65235
"Caryothraustes canadensis (Linnaeus, 1766)",-54.07085,5.37024
"Caryothraustes canadensis (Linnaeus, 1766)",-59.93972,-3.00319
"Caryothraustes canadensis (Linnaeus, 1766)",-48.30259,-1.19011
"Caryothraustes canadensis (Linnaeus, 1766)",-48.30054,-1.19604
"Caryothraustes canadensis (Linnaeus, 1766)",-42.98884,-5.13429
"Caryothraustes canadensis (Linnaeus, 1766)",-60.05815,-2.65471
"Caryothraustes canadensis (Linnaeus, 1766)",-61.90006,7.92222
"Caryothraustes canadensis (Linnaeus, 1766)",-53.91363,5.4513
"Caryothraustes canadensis (Linnaeus, 1766)",-42.0389,-22.4248
"Caryothraustes canadensis (Linnaeus, 1766)",-39.13583,-14.49222
"Caryothraustes canadensis (Linnaeus, 1766)",-60.16133,-2.77919
"Caryothraustes canadensis (Linnaeus, 1766)",-60.05826,-2.80601
"Caryothraustes canadensis (Linnaeus, 1766)",-39.05747,-14.42458
"Caryothraustes canadensis (Linnaeus, 1766)",-59.93964,-3.00333
"Caryothraustes canadensis (Linnaeus, 1766)",-40.69249,-20.42472
"Caryothraustes canadensis (Linnaeus, 1766)",-39.06528,-15.18222
"Caryothraustes canadensis (Linnaeus, 1766)",-40.56318,-19.95209
"Caryothraustes canadensis (Linnaeus, 1766)",-39.13033,-14.47856
"Caryothraustes canadensis (Linnaeus, 1766)",-40.26782,-14.55329
"Caryothraustes canadensis (Linnaeus, 1766)",-52.18355,0.94166
"Caryothraustes canadensis (Linnaeus, 1766)",-54.01071,2.60265
"Caryothraustes canadensis (Linnaeus, 1766)",-54.00411,2.61216
"Caryothraustes canadensis (Linnaeus, 1766)",-39.11292,-16.35122
"Caryothraustes canadensis (Linnaeus, 1766)",-39.11428,-16.34842
"Caryothraustes canadensis (Linnaeus, 1766)",-39.11628,-16.34796
"Caryothraustes canadensis (Linnaeus, 1766)",-39.11408,-14.1993
"Caryothraustes canadensis (Linnaeus, 1766)",-42.97912,-22.52184
"Caryothraustes canadensis (Linnaeus, 1766)",-42.8156,-22.42126
"Caryothraustes canadensis (Linnaeus, 1766)",-48.18484,-1.18618
"Caryothraustes canadensis (Linnaeus, 1766)",-60.04109,-1.97573
"Caryothraustes canadensis (Linnaeus, 1766)",-39.56443,-15.39196
"Caryothraustes canadensis (Linnaeus, 1766)",-40.64836,-20.34982
"Caryothraustes canadensis (Linnaeus, 1766)",-39.31519,-15.1327
"Caryothraustes canadensis (Linnaeus, 1766)",-60.07389,-2.71815
"Caryothraustes canadensis (Linnaeus, 1766)",-48.18445,-1.18658
"Caryothraustes canadensis (Linnaeus, 1766)",-43.03021,-22.5235
"Caryothraustes canadensis (Linnaeus, 1766)",-52.33053,4.33124
"Caryothraustes canadensis (Linnaeus, 1766)",-54.41302,4.37652
"Caryothraustes canadensis (Linnaeus, 1766)",-39.00073,-14.9915
"Caryothraustes canadensis (Linnaeus, 1766)",-38.99456,-14.27952
"Caryothraustes canadensis (Linnaeus, 1766)",-40.15666,-14.67295
"Caryothraustes canadensis (Linnaeus, 1766)",-52.0011,0.90017
"Caryothraustes canadensis (Linnaeus, 1766)",-48.05449,-1.37759
"Caryothraustes canadensis (Linnaeus, 1766)",-58.19049,6.02494
"Caryothraustes canadensis (Linnaeus, 1766)",-60.05594,-2.74471
"Caryothraustes canadensis (Linnaeus, 1766)",-55.16982,5.45222
"Caryothraustes canadensis (Linnaeus, 1766)",-55.19638,5.44974
"Caryothraustes canadensis (Linnaeus, 1766)",-43.31486,-22.5793
"Caryothraustes canadensis (Linnaeus, 1766)",-40.60637,-19.93898
"Caryothraustes canadensis (Linnaeus, 1766)",-39.10902,-14.81534
"Caryothraustes canadensis (Linnaeus, 1766)",-39.5412,-15.4224
"Caryothraustes canadensis (Linnaeus, 1766)",-42.77134,-22.45359
"Caryothraustes canadensis (Linnaeus, 1766)",-39.03256,-14.33633
"Caryothraustes canadensis (Linnaeus, 1766)",-39.03228,-14.33956
"Caryothraustes canadensis (Linnaeus, 1766)",-44.31479,-23.18313
"Caryothraustes canadensis (Linnaeus, 1766)",-43.00162,-22.49636
"Caryothraustes canadensis (Linnaeus, 1766)",-52.50639,4.51864
"Caryothraustes canadensis (Linnaeus, 1766)",-70.23845,1.22415
"Caryothraustes canadensis (Linnaeus, 1766)",-54.64883,4.08208
"Caryothraustes canadensis (Linnaeus, 1766)",-52.25011,4.58831
"Caryothraustes canadensis (Linnaeus, 1766)",-52.33835,4.32259
"Caryothraustes canadensis (Linnaeus, 1766)",-39.54153,-15.42247
"Caryothraustes canadensis brasiliensis Cabanis, 1851",-40.35026,-14.54967
"Caryothraustes canadensis brasiliensis Cabanis, 1851",-40.5619,-19.89444
"Caryothraustes canadensis (Linnaeus, 1766)",-56.06657,5.17927
"Caryothraustes canadensis (Linnaeus, 1766)",-52.69939,5.07376
"Caryothraustes canadensis (Linnaeus, 1766)",-48.30169,-1.20425
"Caryothraustes canadensis (Linnaeus, 1766)",-40.12916,-14.41252
"Caryothraustes canadensis (Linnaeus, 1766)",-40.67312,-20.30025
"Caryothraustes canadensis (Linnaeus, 1766)",-42.54942,-19.66764
"Caryothraustes canadensis (Linnaeus, 1766)",-39.08614,-14.25294
"Caryothraustes canadensis (Linnaeus, 1766)",-40.13454,-14.41322
"Caryothraustes canadensis (Linnaeus, 1766)",-43.64851,-3.34918
"Caryothraustes canadensis (Linnaeus, 1766)",-43.31555,-22.56443
"Caryothraustes canadensis (Linnaeus, 1766)",-40.55315,-19.90731
"Caryothraustes canadensis (Linnaeus, 1766)",-42.77093,-22.45095
"Caryothraustes canadensis (Linnaeus, 1766)",-53.41657,3.85455
"Caryothraustes canadensis brasiliensis Cabanis, 1851",-43.00238,-22.49684
"Caryothraustes canadensis (Linnaeus, 1766)",-40.07159,-19.15007
"Caryothraustes canadensis (Linnaeus, 1766)",-40.47921,-20.27294
"Caryothraustes canadensis (Linnaeus, 1766)",-35.79972,-9.25389
"Caryothraustes canadensis (Linnaeus, 1766)",-43.43824,-22.58627
"Caryothraustes canadensis (Linnaeus, 1766)",-40.08946,-19.01668
"Caryothraustes canadensis (Linnaeus, 1766)",-40.15528,-14.39638
"Caryothraustes canadensis (Linnaeus, 1766)",-43.05981,-22.49022
"Caryothraustes canadensis (Linnaeus, 1766)",-35.88053,-9.21796
"Caryothraustes canadensis (Linnaeus, 1766)",-40.67072,-20.36691
"Caryothraustes canadensis (Linnaeus, 1766)",-48.30362,-1.23209
"Caryothraustes canadensis (Linnaeus, 1766)",-53.91109,5.48216
"Caryothraustes canadensis (Linnaeus, 1766)",-39.03035,-14.33346
"Caryothraustes canadensis (Linnaeus, 1766)",-60.09987,-2.81362
