sp,lon,lat
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-38.90794,-13.61104
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-35.8908,-9.21933
"Picumnus exilis buffonii Lafresnaye, 1845",-45.73001,-1.28721
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-35.721,-9.5894
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-35.801,-9.7166
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-35.8741,-9.2162
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-36.4187,-9.2524
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-35.76119,-9.61289
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-34.9831,-7.94863
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-35.1517,-8.65975
Picumnus exilis exilis,-39.1131,-14.198
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-35.90551,-8.65613
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.28425,3.75964
Picumnus exilis exilis,-39.0933,-14.4791
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-56.52679,-1.98482
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.20869,-8.86782
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.20894,-8.86976
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.02287,-14.3089
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-60.04863,-3.09659
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.87958,-9.22541
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-37.99028,-12.24139
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-38.02435,-12.54484
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-60.10232,-3.04864
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-36.42303,-9.26295
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-55.22956,5.48509
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.68722,5.07918
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-40.20733,-14.36502
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.00978,-14.38318
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.13583,-14.49222
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.31672,4.94171
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.88257,-9.21679
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.04312,-14.42508
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-53.04251,5.42
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-34.84717,-7.45336
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.65522,5.18036
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-38.96233,-14.07584
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.33187,4.75075
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-37.9294,-12.40369
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.89215,3.85439
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-51.79808,3.91021
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.62183,4.99939
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.90698,3.8468
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.88663,3.87878
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-61.13559,1.81377
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-53.03426,5.39106
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-60.98929,1.48473
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.18084,-14.25941
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-34.84603,-7.45357
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.33553,4.93819
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-60.05069,-1.97908
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.88036,3.87963
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.73799,4.15764
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.01792,-14.30142
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-37.94661,-12.4173
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.88061,3.88071
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-58.18332,6.54462
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.82359,3.80427
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.84309,3.8122
