sp,lon,lat
"Thalurania glaucopis (J.F.Gmelin, 1788)",-51.54069,-29.05761
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.30122,-23.77691
"Thalurania glaucopis (J.F.Gmelin, 1788)",-45.41017,-23.80108
"Thalurania glaucopis (J.F.Gmelin, 1788)",-42.49668,-22.31022
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.30134,-23.78194
"Thalurania glaucopis (J.F.Gmelin, 1788)",-44.61512,-22.43191
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.64105,-23.05727
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.01183,-22.26256
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.01192,-22.26266
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.47181,-21.77543
"Thalurania glaucopis (J.F.Gmelin, 1788)",-39.56466,-15.39159
"Thalurania glaucopis (J.F.Gmelin, 1788)",-48.99552,-25.49192
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.29108,-23.77269
"Thalurania glaucopis (J.F.Gmelin, 1788)",-50.2454,-29.53059
"Thalurania glaucopis (J.F.Gmelin, 1788)",-49.61939,-28.64569
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.68647,-21.74442
"Thalurania glaucopis (J.F.Gmelin, 1788)",-50.2419,-29.50572
"Thalurania glaucopis (J.F.Gmelin, 1788)",-44.61515,-22.43201
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.22711,-22.96859
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.04113,-23.57051
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.04117,-23.57054
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.04115,-23.57056
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.04107,-23.57054
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.04113,-23.57058
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.04115,-23.57058
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.63603,-23.45429
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.29869,-23.7787
"Thalurania glaucopis (J.F.Gmelin, 1788)",-54.57825,-25.59466
"Thalurania glaucopis (J.F.Gmelin, 1788)",-53.89139,-27.15255
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.41794,-20.58518
"Thalurania glaucopis (J.F.Gmelin, 1788)",-47.0708,-23.92962
"Thalurania glaucopis (J.F.Gmelin, 1788)",-37.70872,-12.01711
"Thalurania glaucopis (J.F.Gmelin, 1788)",-49.13948,-27.66947
"Thalurania glaucopis (J.F.Gmelin, 1788)",-54.5686,-25.60033
"Thalurania glaucopis (J.F.Gmelin, 1788)",-47.39975,-24.18779
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.66826,-21.76333
"Thalurania glaucopis (J.F.Gmelin, 1788)",-48.80695,-27.05022
"Thalurania glaucopis (J.F.Gmelin, 1788)",-47.2289,-23.28129
"Thalurania glaucopis (J.F.Gmelin, 1788)",-44.53753,-22.98971
"Thalurania glaucopis (J.F.Gmelin, 1788)",-39.13305,-16.35895
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.33496,-21.85037
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.68719,-21.74233
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.73129,-24.14126
"Thalurania glaucopis (J.F.Gmelin, 1788)",-45.8868,-23.3982
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.67337,-22.67221
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.04744,-22.54647
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.0459,-22.54663
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.35613,-23.05412
"Thalurania glaucopis (J.F.Gmelin, 1788)",-48.68054,-24.5484
"Thalurania glaucopis (J.F.Gmelin, 1788)",-45.1693,-23.46951
"Thalurania glaucopis (J.F.Gmelin, 1788)",-45.16925,-23.46957
"Thalurania glaucopis (J.F.Gmelin, 1788)",-45.16927,-23.46954
"Thalurania glaucopis (J.F.Gmelin, 1788)",-48.42181,-24.2709
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.73027,-23.56597
"Thalurania glaucopis (J.F.Gmelin, 1788)",-54.56865,-25.60034
"Thalurania glaucopis (J.F.Gmelin, 1788)",-44.61528,-22.43213
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.06365,-22.54586
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.04665,-22.54419
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.04622,-22.54467
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.04622,-22.54506
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.03012,-22.52321
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.30206,-23.7716
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.30157,-23.77938
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.30371,-23.77207
"Thalurania glaucopis (J.F.Gmelin, 1788)",-47.30135,-21.27554
"Thalurania glaucopis (J.F.Gmelin, 1788)",-49.18602,-25.36442
