sp,lon,lat
"Thalurania watertonii (Bourcier, 1847)",-35.8741,-9.2162
"Thalurania watertonii (Bourcier, 1847)",-35.73318,-9.21032
"Thalurania watertonii (Bourcier, 1847)",-35.40574,-7.61621
"Thalurania watertonii (Bourcier, 1847)",-35.97372,-8.73808
"Thalurania watertonii (Bourcier, 1847)",-35.84268,-8.68406
"Thalurania watertonii (Bourcier, 1847)",-35.20869,-8.86782
"Thalurania watertonii (Bourcier, 1847)",-35.20894,-8.86976
"Thalurania watertonii (Bourcier, 1847)",-35.87958,-9.22541
"Thalurania watertonii (Bourcier, 1847)",-36.42303,-9.26295
"Thalurania watertonii (Bourcier, 1847)",-35.88257,-9.21679
"Thalurania watertonii (Bourcier, 1847)",-36.1432,-8.29238
"Thalurania watertonii (Bourcier, 1847)",-36.02552,-8.36952
"Thalurania watertonii (Bourcier, 1847)",-35.90387,-8.6422
"Thalurania watertonii (Bourcier, 1847)",-35.8568,-8.69367
"Thalurania watertonii (Bourcier, 1847)",-35.8592,-8.69634
"Thalurania watertonii (Bourcier, 1847)",-35.85536,-8.70268
"Thalurania watertonii (Bourcier, 1847)",-36.65396,-8.15179
"Thalurania watertonii (Bourcier, 1847)",-35.31184,-8.81285
"Thalurania watertonii (Bourcier, 1847)",-35.10389,-8.69742
"Thalurania watertonii (Bourcier, 1847)",-36.44948,-9.23932
"Thalurania watertonii (Bourcier, 1847)",-35.85611,-8.69359
"Thalurania watertonii (Bourcier, 1847)",-35.78167,-9.24286
"Thalurania watertonii (Bourcier, 1847)",-35.8372,-8.72247
"Thalurania watertonii (Bourcier, 1847)",-35.85251,-8.7173
"Thalurania watertonii (Bourcier, 1847)",-35.15403,-8.66021
"Thalurania watertonii (Bourcier, 1847)",-35.88088,-9.00318
"Thalurania watertonii (Bourcier, 1847)",-35.84037,-8.72083
"Thalurania watertonii (Bourcier, 1847)",-35.1839,-8.62746
"Thalurania watertonii (Bourcier, 1847)",-35.85624,-8.69409
"Thalurania watertonii (Bourcier, 1847)",-35.85648,-8.69372
"Thalurania watertonii (Bourcier, 1847)",-35.20888,-8.86754
"Thalurania watertonii (Bourcier, 1847)",-35.99973,-9.17147
"Thalurania watertonii (Bourcier, 1847)",-35.99903,-9.17263
"Thalurania watertonii (Bourcier, 1847)",-35.85622,-8.69408
"Thalurania watertonii (Bourcier, 1847)",-35.84016,-8.72269
