sp,lon,lat
"Hemithraupis flavicollis melanoxantha (M.H.K.Lichtenstein, 1823)",-35.8741,-9.2162
"Hemithraupis flavicollis (Vieillot, 1818)",-40.06762,-19.15478
"Hemithraupis flavicollis (Vieillot, 1818)",-76.44076,-0.48907
"Hemithraupis flavicollis (Vieillot, 1818)",-43.07796,-22.54416
"Hemithraupis flavicollis (Vieillot, 1818)",-54.93698,-12.38207
"Hemithraupis flavicollis (Vieillot, 1818)",-77.35337,-6.75958
"Hemithraupis flavicollis (Vieillot, 1818)",-77.07516,0.65152
"Hemithraupis flavicollis (Vieillot, 1818)",-77.0752,0.65151
"Hemithraupis flavicollis (Vieillot, 1818)",-55.9366,-9.59869
"Hemithraupis flavicollis (Vieillot, 1818)",-55.93651,-9.59873
"Hemithraupis flavicollis (Vieillot, 1818)",-76.14581,-0.63779
"Hemithraupis flavicollis (Vieillot, 1818)",-69.49212,-12.8619
"Hemithraupis flavicollis (Vieillot, 1818)",-55.51026,-11.85438
"Hemithraupis flavicollis (Vieillot, 1818)",-75.147,6.954
"Hemithraupis flavicollis (Vieillot, 1818)",-69.49224,-12.862
"Hemithraupis flavicollis (Vieillot, 1818)",-41.994,-22.31521
"Hemithraupis flavicollis (Vieillot, 1818)",-43.064,-22.53789
"Hemithraupis flavicollis (Vieillot, 1818)",-43.0496,-22.5576
"Hemithraupis flavicollis (Vieillot, 1818)",-40.12835,-19.90838
"Hemithraupis flavicollis (Vieillot, 1818)",-43.28544,-22.95387
"Hemithraupis flavicollis (Vieillot, 1818)",-76.14588,-0.63756
"Hemithraupis flavicollis (Vieillot, 1818)",-43.0302,-22.52348
"Hemithraupis flavicollis (Vieillot, 1818)",-43.0439,-22.5481
"Hemithraupis flavicollis (Vieillot, 1818)",-75.66862,7.1283
"Hemithraupis flavicollis (Vieillot, 1818)",-75.647,7.13204
"Hemithraupis flavicollis (Vieillot, 1818)",-75.64318,7.13203
"Hemithraupis flavicollis (Vieillot, 1818)",-75.64293,7.12818
"Hemithraupis flavicollis (Vieillot, 1818)",-75.6435,7.13558
"Hemithraupis flavicollis (Vieillot, 1818)",-75.67692,7.08085
"Hemithraupis flavicollis (Vieillot, 1818)",-75.67649,7.0845
"Hemithraupis flavicollis (Vieillot, 1818)",-77.06748,0.64824
"Hemithraupis flavicollis (Vieillot, 1818)",-74.26246,6.05012
"Hemithraupis flavicollis (Vieillot, 1818)",-75.0738,6.29494
"Hemithraupis flavicollis (Vieillot, 1818)",-52.5727,4.90604
"Hemithraupis flavicollis (Vieillot, 1818)",-76.51314,1.37694
"Hemithraupis flavicollis (Vieillot, 1818)",-74.25222,5.80194
"Hemithraupis flavicollis (Vieillot, 1818)",-40.61683,-20.3829
"Hemithraupis flavicollis (Vieillot, 1818)",-35.20869,-8.86782
"Hemithraupis flavicollis (Vieillot, 1818)",-35.20894,-8.86976
"Hemithraupis flavicollis (Vieillot, 1818)",-56.47159,-1.51873
"Hemithraupis flavicollis (Vieillot, 1818)",-76.52633,7.2266
"Hemithraupis flavicollis (Vieillot, 1818)",-76.30229,-6.46032
"Hemithraupis flavicollis (Vieillot, 1818)",-76.21348,-6.60723
"Hemithraupis flavicollis (Vieillot, 1818)",-75.05512,5.29699
"Hemithraupis flavicollis (Vieillot, 1818)",-74.92844,5.39094
"Hemithraupis flavicollis (Vieillot, 1818)",-75.14746,6.81257
"Hemithraupis flavicollis (Vieillot, 1818)",-77.41534,-1.01418
"Hemithraupis flavicollis (Vieillot, 1818)",-77.41275,-1.01508
"Hemithraupis flavicollis (Vieillot, 1818)",-77.39762,-1.03538
"Hemithraupis flavicollis (Vieillot, 1818)",-77.61552,-1.0723
"Hemithraupis flavicollis (Vieillot, 1818)",-74.92023,5.33015
"Hemithraupis flavicollis (Vieillot, 1818)",-55.93673,-9.59871
"Hemithraupis flavicollis (Vieillot, 1818)",-43.28418,-22.95544
"Hemithraupis flavicollis (Vieillot, 1818)",-38.02435,-12.54484
"Hemithraupis flavicollis (Vieillot, 1818)",-74.85529,5.89226
"Hemithraupis flavicollis (Vieillot, 1818)",-76.37949,-6.43569
"Hemithraupis flavicollis (Vieillot, 1818)",-42.63388,-22.47708
"Hemithraupis flavicollis (Vieillot, 1818)",-74.95136,5.50788
"Hemithraupis flavicollis (Vieillot, 1818)",-43.24607,-22.9671
"Hemithraupis flavicollis (Vieillot, 1818)",-40.59967,-19.93617
"Hemithraupis flavicollis (Vieillot, 1818)",-72.90668,-12.39625
"Hemithraupis flavicollis (Vieillot, 1818)",-77.9029,-1.02062
"Hemithraupis flavicollis (Vieillot, 1818)",-75.50746,-9.70818
"Hemithraupis flavicollis (Vieillot, 1818)",-74.7264,6.37545
"Hemithraupis flavicollis (Vieillot, 1818)",-76.30565,-6.43489
"Hemithraupis flavicollis (Vieillot, 1818)",-39.00978,-14.38318
"Hemithraupis flavicollis (Vieillot, 1818)",-39.13583,-14.49222
"Hemithraupis flavicollis (Vieillot, 1818)",-42.63395,-22.47705
"Hemithraupis flavicollis (Vieillot, 1818)",-76.35807,-6.45124
"Hemithraupis flavicollis (Vieillot, 1818)",-77.96957,-1.31501
"Hemithraupis flavicollis (Vieillot, 1818)",-76.28,-6.313
"Hemithraupis flavicollis (Vieillot, 1818)",-75.1712,6.83364
"Hemithraupis flavicollis (Vieillot, 1818)",-76.28564,-6.32762
