sp,lon,lat
"Thalurania furcata (J.F.Gmelin, 1788)",-55.5393,-20.47356
"Thalurania furcata (J.F.Gmelin, 1788)",-55.53932,-20.47357
"Thalurania furcata (J.F.Gmelin, 1788)",-71.38536,-12.85347
"Thalurania furcata (J.F.Gmelin, 1788)",-47.87846,-15.94821
"Thalurania furcata (J.F.Gmelin, 1788)",-47.67738,-15.63104
"Thalurania furcata (J.F.Gmelin, 1788)",-47.67915,-15.63059
"Thalurania furcata (J.F.Gmelin, 1788)",-47.67868,-15.63141
"Thalurania furcata (J.F.Gmelin, 1788)",-43.53101,-19.25958
"Thalurania furcata (J.F.Gmelin, 1788)",-77.83821,-0.91274
"Thalurania furcata (J.F.Gmelin, 1788)",-52.45101,4.28232
"Thalurania furcata (J.F.Gmelin, 1788)",-47.75855,-15.87781
"Thalurania furcata (J.F.Gmelin, 1788)",-77.03906,-6.03088
"Thalurania furcata (J.F.Gmelin, 1788)",-76.9772,-6.07541
"Thalurania furcata (J.F.Gmelin, 1788)",-76.97726,-6.07543
"Thalurania furcata (J.F.Gmelin, 1788)",-76.31782,-6.41592
"Thalurania furcata (J.F.Gmelin, 1788)",-49.604,-16.0538
"Thalurania furcata (J.F.Gmelin, 1788)",-52.54957,4.92398
"Thalurania furcata (J.F.Gmelin, 1788)",-77.60141,-0.67564
"Thalurania furcata (J.F.Gmelin, 1788)",-54.93698,-12.38207
"Thalurania furcata (J.F.Gmelin, 1788)",-55.18048,4.94926
"Thalurania furcata (J.F.Gmelin, 1788)",-55.1825,4.94728
"Thalurania furcata (J.F.Gmelin, 1788)",-55.18336,4.94709
"Thalurania furcata (J.F.Gmelin, 1788)",-55.18308,4.94698
"Thalurania furcata (J.F.Gmelin, 1788)",-55.4194,4.63591
"Thalurania furcata (J.F.Gmelin, 1788)",-55.4151,4.64004
"Thalurania furcata (J.F.Gmelin, 1788)",-55.50171,4.64459
"Thalurania furcata (J.F.Gmelin, 1788)",-55.41923,4.63652
"Thalurania furcata (J.F.Gmelin, 1788)",-55.41909,4.63622
"Thalurania furcata (J.F.Gmelin, 1788)",-47.83633,-15.87595
"Thalurania furcata (J.F.Gmelin, 1788)",-76.1386,-0.62698
"Thalurania furcata (J.F.Gmelin, 1788)",-77.60151,-0.67532
"Thalurania furcata (J.F.Gmelin, 1788)",-48.34699,-15.71188
"Thalurania furcata (J.F.Gmelin, 1788)",-47.82871,-15.86141
"Thalurania furcata (J.F.Gmelin, 1788)",-77.6013,-0.67591
"Thalurania furcata (J.F.Gmelin, 1788)",-55.74316,-15.46403
"Thalurania furcata (J.F.Gmelin, 1788)",-47.82494,-15.87185
"Thalurania furcata (J.F.Gmelin, 1788)",-47.88528,-15.74199
"Thalurania furcata (J.F.Gmelin, 1788)",-70.29367,-4.28882
"Thalurania furcata (J.F.Gmelin, 1788)",-55.47243,4.64302
"Thalurania furcata (J.F.Gmelin, 1788)",-55.49493,4.63745
"Thalurania furcata (J.F.Gmelin, 1788)",-55.41898,4.6363
"Thalurania furcata (J.F.Gmelin, 1788)",-43.93352,-19.92407
"Thalurania furcata (J.F.Gmelin, 1788)",-43.49096,-18.41977
